decision_year,selected_rule,objective,window,score_at_decision,net_return,cdi_return,turnover,eligible_assets
2018,reversal_w63_e20_v05,excess_return,5,0.743830271443571,0.1268542735072812,0.0639322488387117,1.0546594189622958,262
2019,reversal_w63_e20_v10,excess_return,5,0.09721321404922856,0.7437335928128607,0.0593378093687526,1.3040757089397168,266
2020,reversal_w63_e20_v10,excess_return,5,0.19953188160723068,-0.0029096868749003,0.0274025853352573,1.999418220415431,268
2021,reversal_w63_e20_v10,excess_return,5,0.28340182217735155,0.0844251499398049,0.0441582092048284,1.9992822480810248,273
2022,reversal_w63_e20_v10,excess_return,5,0.20063257358686037,-0.1520401460311934,0.1229491554605437,1.2130368031720546,297
2023,reversal_w63_e20_v10,excess_return,5,0.06375057797812089,0.3049239643131369,0.1293265758525719,1.0887591580308602,332
2024,reversal_w63_e20_v10,excess_return,5,0.08261232834962451,-0.1027741310706106,0.1077709035346747,1.169259871887938,333
2025,reversal_w63_e20_v10,excess_return,5,-0.07121041562203323,0.2720363768277104,0.1420925347405714,1.3082216269296312,325
