decision_date,ticker,status,reason
2013-01-02,TCNO4.SA,blocked,No ITR available by 2013-01-02 for TCNO4.SA
2013-01-02,UNIP5.SA,blocked,ambiguous_preferred_class_share_count
2013-01-02,EKTR3.SA,accepted,
2013-01-02,GTDP3B.SA,accepted,
2013-01-02,SPRI6.SA,blocked,"1 validation error for FundamentalSnapshot
ev_to_ebit
  Input should be greater than 0 [type=greater_than, input_value=-1.0821756549241681, input_type=float]
    For further information visit https://errors.pydantic.dev/2.13/v/greater_than"
2013-01-02,FRAS3.SA,accepted,
2013-01-02,GTDP4B.SA,accepted,
2014-01-02,PETR4.SA,accepted,
2014-01-02,VALE5.SA,blocked,ambiguous_preferred_class_share_count
2014-01-02,ITUB4.SA,accepted,
2014-01-02,BBDC4.SA,accepted,
2014-01-02,BBAS3.SA,accepted,
2014-01-02,PETR3.SA,accepted,
2014-01-02,VALE3.SA,accepted,
2014-01-02,ABEV3.SA,blocked,no_fre_share_count
2014-01-02,ITSA4.SA,accepted,
2014-01-02,GGBR4.SA,accepted,
2014-01-02,CIEL3.SA,blocked,ambiguous_ordinary_share_count
2014-01-02,BRFS3.SA,accepted,
2014-01-02,BBSE3.SA,blocked,no_fre_share_count
2014-01-02,USIM5.SA,accepted,
2014-01-02,CSNA3.SA,accepted,
2014-01-02,PCAR4.SA,blocked,ambiguous_preferred_share_count
2014-01-02,AEDU3.SA,accepted,
2014-01-02,BRPR3.SA,accepted,
2014-01-02,BRML3.SA,blocked,ambiguous_ordinary_share_count
2014-01-02,CMIG4.SA,accepted,
2014-01-02,UGPA3.SA,blocked,no_fre_share_count
2014-01-02,PDGR3.SA,accepted,
2014-01-02,CSAN3.SA,accepted,
2014-01-02,LREN3.SA,accepted,
2014-01-02,CYRE3.SA,accepted,
2014-01-02,HYPE3.SA,accepted,
2014-01-02,EMBR3.SA,accepted,
2014-01-02,BBDC3.SA,accepted,
2014-01-02,OIBR4.SA,accepted,
2014-01-02,NATU3.SA,blocked,ambiguous_ordinary_share_count
2014-01-02,ESTC3.SA,accepted,
2014-01-02,RENT3.SA,blocked,ambiguous_ordinary_share_count
2014-01-02,HGTX3.SA,blocked,ambiguous_ordinary_share_count
2014-01-02,OGXP3.SA,accepted,
2014-01-02,SUZB5.SA,blocked,ambiguous_preferred_class_share_count
2014-01-02,MRVE3.SA,accepted,
2014-01-02,SBSP3.SA,accepted,
2014-01-02,SANB11.SA,blocked,unsupported_share_class:UNT EX  N2
2014-01-02,BRAP4.SA,accepted,
2014-01-02,FIBR3.SA,accepted,
2014-01-02,LAME4.SA,accepted,
2014-01-02,BRKM5.SA,blocked,ambiguous_preferred_class_share_count
2014-01-02,GFSA3.SA,blocked,ambiguous_ordinary_share_count
2014-01-02,KLBN4.SA,accepted,
2014-01-02,CRUZ3.SA,accepted,
2014-01-02,QUAL3.SA,blocked,ambiguous_ordinary_share_count
2014-01-02,ALLL3.SA,accepted,
2014-01-02,GOAU4.SA,accepted,
2014-01-02,MULT3.SA,blocked,ambiguous_ordinary_share_count
2014-01-02,ELPL4.SA,accepted,
2014-01-02,ENBR3.SA,accepted,
2014-01-02,SMLE3.SA,blocked,no_fre_share_count
2014-01-02,RSID3.SA,blocked,ambiguous_ordinary_share_count
2014-01-02,ECOR3.SA,accepted,
2014-01-02,TBLE3.SA,accepted,
2014-01-02,CPLE6.SA,blocked,ambiguous_preferred_class_share_count
2014-01-02,DASA3.SA,accepted,
2014-01-02,CPFE3.SA,accepted,
2014-01-02,POMO4.SA,blocked,ambiguous_preferred_share_count
2014-01-02,DTEX3.SA,blocked,no_fre_share_count
2014-01-02,LIGT3.SA,accepted,
2014-01-02,ELET6.SA,blocked,ambiguous_preferred_class_share_count
2014-01-02,WEGE3.SA,accepted,
2014-01-02,GOLL4.SA,blocked,ambiguous_preferred_share_count
2014-01-02,RADL3.SA,accepted,
2014-01-02,BRSR6.SA,blocked,ambiguous_preferred_class_share_count
2014-01-02,MPLU3.SA,accepted,
2014-01-02,LAME3.SA,accepted,
2014-01-02,ELET3.SA,accepted,
2014-01-02,MMXM3.SA,blocked,ambiguous_ordinary_share_count
2014-01-02,TOTS3.SA,accepted,
2014-01-02,MILS3.SA,accepted,
2014-01-02,EVEN3.SA,accepted,
2014-01-02,CESP6.SA,accepted,
2014-01-02,EQTL3.SA,blocked,ambiguous_ordinary_share_count
2014-01-02,PSSA3.SA,blocked,ambiguous_ordinary_share_count
2014-01-02,MRFG3.SA,blocked,ambiguous_ordinary_share_count
2014-01-02,MDIA3.SA,accepted,
2014-01-02,ARTR3.SA,accepted,
2014-01-02,EZTC3.SA,accepted,
2014-01-02,CVCB3.SA,blocked,no_fre_share_count
2014-01-02,SEER3.SA,blocked,no_fre_share_count
2014-01-02,RAPT4.SA,accepted,
2014-01-02,BISA3.SA,blocked,No ITR available by 2014-01-02 for BISA3.SA
2014-01-02,CSMG3.SA,accepted,
2014-01-02,TAEE11.SA,blocked,unsupported_share_class:UNT     N2
2014-01-02,VLID3.SA,accepted,
2014-01-02,ENEV3.SA,blocked,ambiguous_ordinary_share_count
2014-01-02,BEEF3.SA,accepted,
2014-01-02,MYPK3.SA,accepted,
2014-01-02,SULA11.SA,blocked,unsupported_share_class:UNT     N2
2014-01-02,AMAR3.SA,blocked,ambiguous_ordinary_share_count
2014-01-02,ALSC3.SA,blocked,ambiguous_ordinary_share_count
2014-01-02,MGLU3.SA,accepted,
2014-01-02,STBP11.SA,blocked,unsupported_share_class:UNT EDJ N2
2014-01-02,IMCH3.SA,blocked,ambiguous_ordinary_share_count
2014-01-02,FLRY3.SA,accepted,
2014-01-02,GRND3.SA,accepted,
2014-01-02,ANIM3.SA,blocked,no_fre_share_count
2014-01-02,QGEP3.SA,blocked,ambiguous_ordinary_share_count
2014-01-02,DIRR3.SA,blocked,ambiguous_ordinary_share_count
2014-01-02,OIBR3.SA,accepted,
2014-01-02,TCSA3.SA,accepted,
2014-01-02,BPHA3.SA,blocked,ambiguous_ordinary_share_count
2014-01-02,LPSB3.SA,blocked,ambiguous_ordinary_share_count
2014-01-02,BRIN3.SA,blocked,ambiguous_ordinary_share_count
2014-01-02,CCXC3.SA,accepted,
2014-01-02,ALPA4.SA,accepted,
2014-01-02,USIM3.SA,accepted,
2014-01-02,LOGN3.SA,accepted,
2014-01-02,PFRM3.SA,accepted,
2014-01-02,LEVE3.SA,accepted,
2014-01-02,ABRE11.SA,blocked,unsupported_share_class:UNT     N2
2014-01-02,TGMA3.SA,accepted,
2014-01-02,OSXB3.SA,blocked,ambiguous_ordinary_share_count
2014-01-02,LUPA3.SA,accepted,
2014-01-02,KEPL3.SA,accepted,
2014-01-02,SMTO3.SA,accepted,
2014-01-02,ABCB4.SA,blocked,no_fre_share_count
2014-01-02,ALUP11.SA,blocked,unsupported_share_class:UNT     N2
2014-01-02,JSLG3.SA,blocked,ambiguous_ordinary_share_count
2014-01-02,ITUB3.SA,accepted,
2014-01-02,CPRE3.SA,accepted,
2014-01-02,JHSF3.SA,accepted,
2014-01-02,COCE5.SA,accepted,
2014-01-02,HBOR3.SA,accepted,
2014-01-02,SLCE3.SA,accepted,
2014-01-02,AUTM3.SA,accepted,
2014-01-02,MAGG3.SA,accepted,
2014-01-02,BPNM4.SA,blocked,ambiguous_preferred_share_count
2014-01-02,TECN3.SA,accepted,
2014-01-02,SLED4.SA,accepted,
2014-01-02,CGAS5.SA,blocked,ambiguous_preferred_class_share_count
2014-01-02,LLIS3.SA,accepted,
2014-01-02,TPIS3.SA,accepted,
2014-01-02,CMIG3.SA,accepted,
2014-01-02,BICB4.SA,blocked,ambiguous_preferred_share_count
2014-01-02,SHOW3.SA,blocked,ambiguous_ordinary_share_count
2014-01-02,GGBR3.SA,accepted,
2014-01-02,BEMA3.SA,accepted,
2014-01-02,CPLE3.SA,accepted,
2014-01-02,DAYC4.SA,accepted,
2014-01-02,UCAS3.SA,blocked,Missing annual/current/comparative CVM value for 3.01 of UCAS3.SA
2014-01-02,VIVT3.SA,accepted,
2014-01-02,BHGR3.SA,accepted,
2014-01-02,VIVR3.SA,accepted,
2014-01-02,PTBL3.SA,accepted,
2014-01-02,SCAR3.SA,accepted,
2014-01-02,RDNI3.SA,accepted,
2014-01-02,CREM3.SA,blocked,no_fre_share_count
2014-01-02,POSI3.SA,accepted,
2014-01-02,PRBC4.SA,blocked,ambiguous_preferred_share_count
2014-01-02,PINE4.SA,accepted,
2014-01-02,LCAM3.SA,accepted,
2014-01-02,NETC4.SA,blocked,ambiguous_preferred_share_count
2014-01-02,GSHP3.SA,accepted,
2014-01-02,ETER3.SA,accepted,
2014-01-02,TEMP3.SA,accepted,
2014-01-02,ROMI3.SA,accepted,
2014-01-02,UNIP6.SA,blocked,ambiguous_preferred_class_share_count
2014-01-02,PNVL3.SA,accepted,
2014-01-02,ITSA3.SA,accepted,
2014-01-02,TRPN3.SA,blocked,ambiguous_ordinary_share_count
2014-01-02,FHER3.SA,accepted,
2014-01-02,ENGI4.SA,blocked,'DataFrame' object has no attribute 'CNPJ_CIA'
2014-01-02,CLSC4.SA,accepted,
2014-01-02,INEP4.SA,accepted,
2014-01-02,BGIP3.SA,accepted,
2014-01-02,GOAU3.SA,accepted,
2014-01-02,FESA4.SA,accepted,
2014-01-02,EUCA4.SA,accepted,
2014-01-02,PRVI3.SA,blocked,ambiguous_ordinary_share_count
2014-01-02,BSEV3.SA,accepted,
2014-01-02,TERI3.SA,accepted,
2014-01-02,AGRO3.SA,accepted,
2014-01-02,BRKM3.SA,accepted,
2014-01-02,RDTR3.SA,accepted,
2014-01-02,BRAP3.SA,accepted,
2014-01-02,RNEW11.SA,blocked,unsupported_share_class:UNT     N2
2014-01-02,BOBR4.SA,accepted,
2014-01-02,CGRA4.SA,blocked,ambiguous_preferred_share_count
2014-01-02,TELB4.SA,blocked,ambiguous_preferred_share_count
2014-01-02,CGAS3.SA,accepted,
2014-01-02,SGPS3.SA,blocked,ambiguous_ordinary_share_count
2014-01-02,MTSA4.SA,blocked,"1 validation error for FundamentalSnapshot
ev_to_ebit
  Input should be greater than 0 [type=greater_than, input_value=-1.397956576119661, input_type=float]
    For further information visit https://errors.pydantic.dev/2.13/v/greater_than"
2014-01-02,SHUL4.SA,accepted,
2014-01-02,RPMG3.SA,blocked,Missing annual/current/comparative CVM value for 3.01 of RPMG3.SA
2014-01-02,RJCP3.SA,blocked,'DataFrame' object has no attribute 'CNPJ_CIA'
2014-01-02,UNIP5.SA,blocked,ambiguous_preferred_class_share_count
2014-01-02,SAPR4.SA,accepted,
2014-01-02,CARD3.SA,accepted,
2014-01-02,VULC3.SA,accepted,
2014-01-02,BGIP4.SA,accepted,
2014-01-02,POMO3.SA,blocked,ambiguous_ordinary_share_count
2014-01-02,MGEL4.SA,blocked,Missing annual/current/comparative CVM value for 3.01 of MGEL4.SA
2014-01-02,RCSL4.SA,accepted,
2014-01-02,MNPR3.SA,blocked,ambiguous_ordinary_share_count
2014-01-02,IGBR3.SA,blocked,no_fre_share_count
2014-01-02,SFSA4.SA,accepted,
2014-01-02,TIBR5.SA,accepted,
2014-01-02,TEKA4.SA,accepted,
2014-01-02,FRIO3.SA,accepted,
2014-01-02,MLFT4.SA,accepted,
2014-01-02,CESP3.SA,accepted,
2014-01-02,MNDL3.SA,accepted,
2014-01-02,SANB4.SA,accepted,
2014-01-02,SANB3.SA,accepted,
2014-01-02,BMTO4.SA,accepted,
2014-01-02,MWET4.SA,accepted,
2014-01-02,CCHI3.SA,blocked,no_fre_share_count
2014-01-02,CGRA3.SA,blocked,"1 validation error for FundamentalSnapshot
ev_to_ebit
  Input should be greater than 0 [type=greater_than, input_value=-1.848140814130644, input_type=float]
    For further information visit https://errors.pydantic.dev/2.13/v/greater_than"
2014-01-02,SOND5.SA,blocked,"1 validation error for FundamentalSnapshot
ev_to_ebit
  Input should be greater than 0 [type=greater_than, input_value=-0.25520771618835464, input_type=float]
    For further information visit https://errors.pydantic.dev/2.13/v/greater_than"
2014-01-02,LIXC4.SA,accepted,
2014-01-02,CRIV4.SA,accepted,
