decision_year,decision_date,ticker,weight,previous_weight,decision_action,factor,value_quality_score,factor_signal_at_decision,trailing_12m_return_at_decision,trailing_12m_volatility_at_decision,eligible_at_decision,fundamental_status,decision_rationale,realised_next_year_return
2012,2012-01-02,AMBV3.SA,0.2052098855462775,0.0,entered,value_quality,0.6878306878306878,,0.30092307492055825,0.22718280931352935,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.5753531981045397
2012,2012-01-02,AMBV4.SA,0.2399999999025085,0.0,entered,value_quality,0.708994708994709,,0.36613064554184827,0.22913799080097874,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.2962381397836724
2012,2012-01-02,CMIG3.SA,0.23999999983942738,0.0,entered,value_quality,0.5555555555555556,,0.36406084189904786,0.2727350400772681,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,-0.17616808877432433
2012,2012-01-02,HGTX3.SA,0.06479011377435043,0.0,entered,value_quality,0.48148148148148145,,0.29172095736092785,0.38702471204312994,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.24656456319082265
2012,2012-01-02,TITULO_CDI,0.24999999999910505,0.0,entered,value_quality,,,,,True,CDI residual,"Defensive residual after equity, issuer and eligibility constraints.",0.0
2013,2013-01-02,AMBV3.SA,0.23999999659313342,0.2780025721678735,reduced,value_quality,0.670807453416149,,0.6017257922278032,0.25508583136286994,True,eligible_on_decision_date,Maintained because it remained eligible under the point-in-time screen and its constrained allocation remained positive.,0.06819178496865663
2013,2013-01-02,GRND3.SA,0.23999999998934737,0.0,entered,value_quality,0.596273291925466,,1.1385658061166999,0.2605674920131544,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.1525221773759462
2013,2013-01-02,LEVE3.SA,0.23999999839047628,0.0,entered,value_quality,0.29813664596273287,,0.8789114198399459,0.26342549199581017,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.06401931534691685
2013,2013-01-02,SBSP3.SA,0.030000004744953405,3.802829177798785e-11,entered,value_quality,0.2732919254658385,,0.7758080056618459,0.2942879383048938,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,-0.06242257344894708
2013,2013-01-02,TITULO_CDI,0.2500000000123448,0.21498720112282294,increased,value_quality,,,,,True,CDI residual,"Defensive residual after equity, issuer and eligibility constraints.",0.07995985491151636
