date,decision_year,strategy,mvo,cdi,equity_sleeve,IBOVESPA,BOVA11
2015-01-05,2015,99.398112,98.822538,100.043455,98.330215,97.948961,98.011006
2015-01-06,2015,99.255778,98.905421,100.086929,97.856606,98.946652,98.561158
2015-01-07,2015,99.996022,100.528579,100.130422,99.839084,101.96034,101.883206
2015-01-08,2015,100.458197,99.715933,100.173933,101.04769,102.949786,102.644943
2015-01-09,2015,99.645277,98.348553,100.217464,98.70781,100.676121,100.571309
2015-01-12,2015,98.713548,100.430495,100.261013,96.037265,99.233179,99.090147
2015-01-13,2015,98.473105,98.98349,100.304582,95.29046,99.031168,98.688111
2015-01-14,2015,98.765022,97.689551,100.348169,96.025122,98.214875,98.349558
2015-01-15,2015,98.823871,98.040755,100.391775,96.111146,98.998186,99.449855
2015-01-16,2015,99.859983,100.035423,100.435401,98.916756,101.04098,100.719425
2015-01-19,2015,98.612367,98.637017,100.479045,95.36696,98.445745,97.98985
2015-01-20,2015,98.923699,98.623516,100.522708,96.155519,98.691046,98.434198
2015-01-21,2015,99.682833,99.26261,100.56639,98.190226,101.467678,101.163781
2015-01-22,2015,100.162029,99.247431,100.611948,99.442555,101.919113,101.819722
2015-01-23,2015,99.700592,99.421368,100.65749,98.077228,100.542134,100.08464
2015-01-26,2015,99.472159,99.718698,100.703052,97.36029,100.133987,99.851884
2015-01-27,2015,99.393053,99.31683,100.748636,97.058874,100.162846,100.16928
2015-01-28,2015,99.335604,99.645715,100.79424,96.817695,98.315881,98.03217
2015-01-29,2015,99.927728,100.22279,100.839864,98.384168,98.453991,98.137966
2015-01-30,2015,99.322121,100.211816,100.885509,96.617448,96.693602,96.50868
2015-02-02,2015,100.074577,100.737382,100.931175,98.630035,98.225181,97.90521
2015-02-03,2015,100.572873,102.325576,100.976898,99.935221,100.931728,100.804065
2015-02-04,2015,101.141962,100.706543,101.022641,101.437379,101.626402,101.079141
2015-02-05,2015,100.845763,100.638352,101.068406,100.531496,101.488292,101.311898
2015-02-06,2015,100.563077,100.880363,101.114191,99.663183,100.577177,100.08464
2015-02-09,2015,100.704641,102.25234,101.159996,99.975472,101.795432,101.39653
2015-02-10,2015,100.350853,102.119495,101.205823,98.909215,99.995877,99.788408
2015-02-11,2015,99.833164,101.517879,101.25167,97.386801,99.439314,99.344059
2015-02-12,2015,100.586657,103.008729,101.297538,99.401912,102.104634,101.840886
2015-02-13,2015,101.117543,102.866418,101.343427,100.797498,104.378298,104.506985
2015-02-18,2015,101.781674,105.012437,101.389337,102.56385,105.705805,105.607282
2015-02-19,2015,101.778482,106.076719,101.435267,102.473078,105.734664,105.374526
2015-02-20,2015,101.871351,106.170608,101.481218,102.649599,105.619228,105.459166
2015-02-23,2015,102.166901,106.54808,101.52719,103.390118,105.707866,105.374526
2015-02-24,2015,102.391019,106.14341,101.573183,103.931815,106.930244,106.665259
