decision_year,decision_date,ticker,weight,previous_weight,decision_action,factor,value_quality_score,factor_signal_at_decision,trailing_12m_return_at_decision,trailing_12m_volatility_at_decision,eligible_at_decision,fundamental_status,decision_rationale,realised_next_year_return
2015,2015-01-02,CIEL3.SA,0.1,0.0,entered,triple_factor,0.975609756097561,,0.2934241622450833,0.2668343836480912,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,-0.13438948916030458
2015,2015-01-02,CMIG4.SA,0.1,0.0,entered,triple_factor,1.0,,0.1921011264412038,0.4205740413633536,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,-0.5057793777342718
2015,2015-01-02,HGTX3.SA,0.05047183503050174,0.0,entered,triple_factor,0.926829268292683,,-0.3131377011820804,0.31576954316149786,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,-0.20970247984536516
2015,2015-01-02,ITSA4.SA,0.04255018701770637,0.0,entered,triple_factor,0.9024390243902439,,0.209315868868996,0.3313038404675819,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,-0.12639770597933397
2015,2015-01-02,ITUB4.SA,0.05697797795179186,0.0,entered,triple_factor,0.9512195121951219,,0.2616405736022114,0.3375381686842137,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,-0.1003699246527715
2015,2015-01-02,TITULO_CDI,0.6499999999999999,0.0,entered,triple_factor,,,,,True,CDI residual,"Defensive residual after equity, issuer and eligibility constraints.",0.1313058205754336
2016,2016-01-04,BRSR6.SA,0.1,0.0,entered,triple_factor,0.9714285714285714,,-0.5057113512762589,0.4626400327035476,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.9885062259337567
2016,2016-01-04,CMIG4.SA,0.08317783950066214,0.04943933107174702,increased,triple_factor,0.9428571428571428,,-0.4805619696394884,0.43887168106411395,True,eligible_on_decision_date,Maintained because it remained eligible under the point-in-time screen and its constrained allocation remained positive.,0.49544160134880677
2016,2016-01-04,ENBR3.SA,0.03815656160328004,0.0,entered,triple_factor,0.9142857142857143,,0.38551860147255246,0.3623327728386188,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.2000517085013509
2016,2016-01-04,LREN3.SA,0.028665598896057735,0.0,entered,triple_factor,0.8857142857142857,,0.17779672401812174,0.3223246639652782,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.464912637287612
2016,2016-01-04,SMLE3.SA,0.1,0.0,entered,triple_factor,1.0,,-0.22514120339382782,0.43516367773411785,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.28109796220140715
2016,2016-01-04,TITULO_CDI,0.65,0.7356057257944211,reduced,triple_factor,,,,,True,CDI residual,"Defensive residual after equity, issuer and eligibility constraints.",0.13881531059776075
2017,2017-01-02,CMIG4.SA,0.1,0.0972263951777196,increased,triple_factor,0.9743589743589743,,0.40607054132520926,0.6125041443189434,True,eligible_on_decision_date,Maintained because it remained eligible under the point-in-time screen and its constrained allocation remained positive.,-0.069645542263153
2017,2017-01-02,CPLE6.SA,0.040459169946940515,0.0,entered,triple_factor,0.8974358974358975,,0.12748739024630495,0.4864036463541872,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,-0.08188067258310816
2017,2017-01-02,ELET3.SA,0.04261561404800637,0.0,entered,triple_factor,0.9230769230769231,,3.1418109578594517,0.5278624436270734,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,-0.1308093949273672
2017,2017-01-02,SAPR4.SA,0.06692521600505313,0.0,entered,triple_factor,0.9487179487179487,,2.6541896281313977,0.44574248730881005,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.14625971702566765
2017,2017-01-02,SMLE3.SA,0.1,0.10013581356399223,reduced,triple_factor,1.0,,0.3516988472207567,0.48874008974617367,True,eligible_on_decision_date,Maintained because it remained eligible under the point-in-time screen and its constrained allocation remained positive.,1.0016302746692887
2017,2017-01-02,TITULO_CDI,0.6499999999999999,0.578593758196463,increased,triple_factor,,,,,True,CDI residual,"Defensive residual after equity, issuer and eligibility constraints.",0.09869747716374411
2018,2018-01-02,BRSR6.SA,0.05724715357644666,0.0,entered,triple_factor,0.9318181818181818,,0.5884281577883577,0.46715068388686615,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.6114528684183826
2018,2018-01-02,CVCB3.SA,0.0744318907139941,0.0,entered,triple_factor,0.9545454545454546,,1.2191891798862469,0.2885264504241829,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.23728061930947186
