decision_year,decision_date,ticker,weight,previous_weight,decision_action,factor,value_quality_score,factor_signal_at_decision,trailing_12m_return_at_decision,trailing_12m_volatility_at_decision,eligible_at_decision,fundamental_status,decision_rationale,realised_next_year_return
2017,2017-01-02,SMLE3.SA,0.12,0.1152666822536129,increased,triple_factor,1.0,,0.3516988472207567,0.48874008974617367,True,eligible_on_decision_date,Maintained because it remained eligible under the point-in-time screen and its constrained allocation remained positive.,1.0016302746692887
2017,2017-01-02,TITULO_CDI,0.44999999999999996,0.3842430470539157,increased,triple_factor,,,,,True,CDI residual,"Defensive residual after equity, issuer and eligibility constraints.",0.09869747716374411
2018,2018-01-02,BRSR6.SA,0.11589709509410358,0.0,entered,triple_factor,0.9318181818181818,,0.5114693077247818,0.4639399345572658,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.6114528684183826
2018,2018-01-02,CVCB3.SA,0.12,0.0,entered,triple_factor,0.9545454545454546,,1.0703067637572232,0.2872174485802007,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.23728061930947186
2018,2018-01-02,ITSA3.SA,0.12,0.0,entered,triple_factor,0.9772727272727273,,0.35897591513775495,0.23010454715800407,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.45430534835654757
2018,2018-01-02,MGLU3.SA,0.12,0.0,entered,triple_factor,1.0,,5.110306723950516,0.7026960806577291,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,1.2896508777702356
2018,2018-01-02,SAPR4.SA,0.07410290490589648,0.11924916399161595,reduced,triple_factor,0.9090909090909091,,0.15693785627423606,0.37821269976218064,True,eligible_on_decision_date,Maintained because it remained eligible under the point-in-time screen and its constrained allocation remained positive.,-0.014910717592183764
2018,2018-01-02,TITULO_CDI,0.44999999999999996,0.42862915473721186,increased,triple_factor,,,,,True,CDI residual,"Defensive residual after equity, issuer and eligibility constraints.",0.06367037319283275
2019,2019-01-02,BRSR6.SA,0.12,0.13977562437500754,reduced,triple_factor,0.9791666666666666,,0.6201633588098221,0.3841578030690858,True,eligible_on_decision_date,Maintained because it remained eligible under the point-in-time screen and its constrained allocation remained positive.,-0.0012384386746349119
2019,2019-01-02,CMIG3.SA,0.08061043763927361,0.0,entered,triple_factor,0.9166666666666666,,1.482329509859802,0.3987052235209324,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.04392961922111205
2019,2019-01-02,CSNA3.SA,0.12,0.0,entered,triple_factor,0.9583333333333334,,0.13624685683726967,0.4940651447242184,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.6412684880382429
2019,2019-01-02,IRBR3.SA,0.10938956236072639,0.0,entered,triple_factor,0.9375,,1.6674273367978603,0.27368089942807,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.4484773541977358
2019,2019-01-02,MGLU3.SA,0.12,0.2056325188226874,reduced,triple_factor,1.0,,1.608005022010203,0.4782114404255926,True,eligible_on_decision_date,Maintained because it remained eligible under the point-in-time screen and its constrained allocation remained positive.,1.0603292519914582
2019,2019-01-02,TITULO_CDI,0.44999999999999996,0.35822909754539933,increased,triple_factor,,,,,True,CDI residual,"Defensive residual after equity, issuer and eligibility constraints.",0.059156810061480325
2020,2020-01-02,AZUL4.SA,0.12,0.0,entered,triple_factor,1.0,,0.7796284362906727,0.36264210639246297,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,-0.32041682905265056
2020,2020-01-02,BBSE3.SA,0.12,0.0,entered,triple_factor,0.9701492537313433,,0.5089985789291356,0.23125021564024614,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,-0.1236594123038186
2020,2020-01-02,CMIG3.SA,0.09013933942049704,0.06557625646339406,increased,triple_factor,0.9402985074626866,,0.14228462761844196,0.3034544237736461,True,eligible_on_decision_date,Maintained because it remained eligible under the point-in-time screen and its constrained allocation remained positive.,0.13075398571727725
2020,2020-01-02,EQTL3.SA,0.09986066057950306,0.0,entered,triple_factor,0.9552238805970149,,0.6351040129285948,0.22480962816194175,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,-0.003799618706799346
2020,2020-01-02,MRFG3.SA,0.12,0.0,entered,triple_factor,0.9850746268656716,,0.9223664710176118,0.41525991215457464,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.4664304522846743
2020,2020-01-02,TITULO_CDI,0.44999999999999996,0.3714128270660284,increased,triple_factor,,,,,True,CDI residual,"Defensive residual after equity, issuer and eligibility constraints.",0.027325854367195923
2021,2021-01-04,BBSE3.SA,0.12,0.10245745024495956,increased,triple_factor,0.9722222222222222,,-0.11530027261006526,0.4053140801396465,True,eligible_on_decision_date,Maintained because it remained eligible under the point-in-time screen and its constrained allocation remained positive.,-0.26438463123863687
2021,2021-01-04,CSMG3.SA,0.07000000000000003,0.0,entered,triple_factor,0.9444444444444444,,-0.09645825775903483,0.5611455884448024,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,-0.16998516048705004
2021,2021-01-04,EQTL3.SA,0.12,0.09692381712209622,increased,triple_factor,0.9583333333333334,,0.0510982623697116,0.4370735771376129,True,eligible_on_decision_date,Maintained because it remained eligible under the point-in-time screen and its constrained allocation remained positive.,0.02306376292043577
2021,2021-01-04,MRFG3.SA,0.12,0.1714478676579791,reduced,triple_factor,0.9861111111111112,,0.555164165762221,0.7000382959683115,True,eligible_on_decision_date,Maintained because it remained eligible under the point-in-time screen and its constrained allocation remained positive.,0.585901574254716
2021,2021-01-04,TASA4.SA,0.12,0.0,entered,triple_factor,1.0,,1.7927927969482984,0.8780533100750928,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.5848327326413045
2021,2021-01-04,TITULO_CDI,0.44999999999999996,0.45041215604554063,reduced,triple_factor,,,,,True,CDI residual,"Defensive residual after equity, issuer and eligibility constraints.",0.04379550070628846
2022,2022-01-03,FHER3.SA,0.12,0.0,entered,triple_factor,1.0,,5.164429772367859,1.212738417992174,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,-0.03031999013875919
2022,2022-01-03,GOAU4.SA,0.12,0.0,entered,triple_factor,0.9887640449438202,,0.25924535172499796,0.3509649013240201,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.27846983067091924
2022,2022-01-03,TASA4.SA,0.08375611187848649,0.16990383730026162,reduced,triple_factor,0.9550561797752809,,0.6855771142119613,0.526455395499407,True,eligible_on_decision_date,Maintained because it remained eligible under the point-in-time screen and its constrained allocation remained positive.,-0.4198861207380552
2022,2022-01-03,UNIP6.SA,0.12,0.0,entered,triple_factor,0.9775280898876404,,1.7308719417176968,0.47784807312223176,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.09908145759940101
2022,2022-01-03,USIM5.SA,0.10624388812151354,0.0,entered,triple_factor,0.9662921348314607,,0.1529293916997705,0.4993459380360093,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,-0.4958832464516034
2022,2022-01-03,TITULO_CDI,0.44999999999999996,0.41962991726384175,increased,triple_factor,,,,,True,CDI residual,"Defensive residual after equity, issuer and eligibility constraints.",0.12294915546054463
2023,2023-01-02,BRAP4.SA,0.11769267424211122,0.0,entered,triple_factor,0.9662921348314607,,0.36972198783517984,0.34480399455649824,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,-0.02832198625846649
2023,2023-01-02,CURY3.SA,0.07230732575788879,0.0,entered,triple_factor,0.9550561797752809,,0.9616563165111338,0.5192792784661208,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.6367667681989224
2023,2023-01-02,KEPL3.SA,0.12,0.0,entered,triple_factor,0.9775280898876404,,0.7898527324392997,0.41694182075182157,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.22280095551588985
2023,2023-01-02,UNIP6.SA,0.12,0.1306949249642483,reduced,triple_factor,0.9887640449438202,,0.12214223643611422,0.32412164963686096,True,eligible_on_decision_date,Maintained because it remained eligible under the point-in-time screen and its constrained allocation remained positive.,-0.06177444493432904
2023,2023-01-02,VIVA3.SA,0.12,0.0,entered,triple_factor,1.0,,-0.09181481425541393,0.44053540889915854,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.6794996373150517
2023,2023-01-02,TITULO_CDI,0.44999999999999996,0.5007491298647964,reduced,triple_factor,,,,,True,CDI residual,"Defensive residual after equity, issuer and eligibility constraints.",0.1293265758525708
2024,2024-01-02,BBSE3.SA,0.12,0.0,entered,triple_factor,0.9662921348314607,,0.11091886235810189,0.19943687261203363,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.1510146810069668
2024,2024-01-02,CMIN3.SA,0.12,0.0,entered,triple_factor,0.9775280898876404,,1.2280729173227516,0.36185033058623756,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,-0.26751088474291373
2024,2024-01-02,CURY3.SA,0.12,0.0984799558844252,increased,triple_factor,0.9887640449438202,,0.5936584318087692,0.37695757146080094,True,eligible_on_decision_date,Maintained because it remained eligible under the point-in-time screen and its constrained allocation remained positive.,0.08033186718291963
2024,2024-01-02,PLPL3.SA,0.0700000000000001,0.0,entered,triple_factor,0.9550561797752809,,1.998460126614098,0.5305741881290769,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,-0.15882921276867146
2024,2024-01-02,VIVA3.SA,0.12,0.1677026430402379,reduced,triple_factor,1.0,,0.6277500430266183,0.3635011872153572,True,eligible_on_decision_date,Maintained because it remained eligible under the point-in-time screen and its constrained allocation remained positive.,-0.4248241960531731
2024,2024-01-02,TITULO_CDI,0.44999999999999996,0.42287382969198567,increased,triple_factor,,,,,True,CDI residual,"Defensive residual after equity, issuer and eligibility constraints.",0.10777090353467633
2025,2025-01-02,BBSE3.SA,0.12,0.1406448977432358,reduced,triple_factor,0.9791666666666666,,0.16860054125412116,0.15357652565257887,True,eligible_on_decision_date,Maintained because it remained eligible under the point-in-time screen and its constrained allocation remained positive.,0.1152569554531373
2025,2025-01-02,CMIN3.SA,0.07685013548239229,0.08950438114589314,reduced,triple_factor,0.9583333333333334,,-0.2543416185642289,0.3852665427169379,True,eligible_on_decision_date,Maintained because it remained eligible under the point-in-time screen and its constrained allocation remained positive.,0.16909085177310956
2025,2025-01-02,CURY3.SA,0.12,0.13200801648835012,reduced,triple_factor,0.9895833333333334,,0.0675505507318721,0.3010900674386946,True,eligible_on_decision_date,Maintained because it remained eligible under the point-in-time screen and its constrained allocation remained positive.,1.1277275466757857
2025,2025-01-02,STBP3.SA,0.1131498645176077,0.0,entered,triple_factor,0.96875,,0.411536461020626,0.3787091006299044,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.17503896252002504
2025,2025-01-02,VIVA3.SA,0.12,0.07028193772447222,increased,triple_factor,1.0,,-0.4260052390284198,0.36464939502301713,True,eligible_on_decision_date,Maintained because it remained eligible under the point-in-time screen and its constrained allocation remained positive.,0.8920169423846473
2025,2025-01-02,TITULO_CDI,0.45000000000000007,0.5076031870666365,reduced,triple_factor,,,,,True,CDI residual,"Defensive residual after equity, issuer and eligibility constraints.",0.14209253474057104
