decision_year,decision_date,ticker,weight,previous_weight,decision_action,factor,value_quality_score,factor_signal_at_decision,trailing_12m_return_at_decision,trailing_12m_volatility_at_decision,eligible_at_decision,fundamental_status,decision_rationale,realised_next_year_return
2013,2013-01-02,ITUB4.SA,0.1,0.0,entered,triple_factor,0.8333333333333334,,0.0302578120287762,0.2811658665884037,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.05671238934188083
2013,2013-01-02,BBDC4.SA,0.1,0.0,entered,triple_factor,0.6666666666666666,,0.18001831681698577,0.23910765856728014,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,-0.08431124296929038
2013,2013-01-02,WEGE3.SA,0.04999999999999993,0.0,entered,triple_factor,0.5,,0.5317440765091854,0.25520577436718334,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.13564549252671143
2013,2013-01-02,BBAS3.SA,0.1,0.0,entered,triple_factor,1.0,,0.2113759403672777,0.3328919433313341,True,eligible_on_decision_date,Entered because it passed the point-in-time screen and the constrained allocator assigned weight.,0.045818566894868074
2013,2013-01-02,TITULO_CDI,0.65,0.0,entered,triple_factor,,,,,True,CDI residual,"Defensive residual after equity, issuer and eligibility constraints.",0.07857469049866928
2014,2014-01-02,ITUB4.SA,0.09147363929230276,0.09972015970798379,reduced,triple_factor,0.6666666666666666,,0.08520763818581223,0.2829706847514197,True,eligible_on_decision_date,Maintained because it remained eligible under the point-in-time screen and its constrained allocation remained positive.,0.24570435215461384
2014,2014-01-02,BBDC4.SA,0.05852636070769718,0.08641199820774025,reduced,triple_factor,0.5,,-0.08290881466244315,0.25827699910835733,True,eligible_on_decision_date,Maintained because it remained eligible under the point-in-time screen and its constrained allocation remained positive.,0.25948544484329883
2014,2014-01-02,WEGE3.SA,0.1,0.053584471531059344,increased,triple_factor,0.8333333333333334,,0.1620750654109282,0.23948805402724982,True,eligible_on_decision_date,Maintained because it remained eligible under the point-in-time screen and its constrained allocation remained positive.,0.3371848557778272
2014,2014-01-02,BBAS3.SA,0.1,0.09869212812133503,increased,triple_factor,1.0,,0.07928484784458179,0.27242653914996534,True,eligible_on_decision_date,Maintained because it remained eligible under the point-in-time screen and its constrained allocation remained positive.,0.05918232563371584
2014,2014-01-02,TITULO_CDI,0.65,0.6615912424318816,reduced,triple_factor,,,,,True,CDI residual,"Defensive residual after equity, issuer and eligibility constraints.",0.10540624317644642
